t,theta_student,phi_student,theta_reference,phi_reference
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,1.000000000000000021e-02
1.000000000000000021e-02,4.910943375575811483e-06,1.000982287211740068e-02,6.064364545911643288e-06,1.001629414474207100e-02
2.000000000000000042e-02,1.962825205984074163e-05,1.003926043542285179e-02,2.427033659237413035e-05,1.006521119649568703e-02
2.999999999999999889e-02,4.419350126928705343e-05,1.008839586565172218e-02,5.473742655342345008e-05,1.014707247582438861e-02
4.000000000000000083e-02,7.866269551718959099e-05,1.015734120621207374e-02,9.766279132218521556e-05,1.026240813363155265e-02
5.000000000000000278e-02,1.232383848773524698e-04,1.024650174895878549e-02,1.527778699624805173e-04,1.041049571991219634e-02
5.999999999999999778e-02,1.778565927204533927e-04,1.035574944587578858e-02,2.204103610119591630e-04,1.059221627534409974e-02
7.000000000000000666e-02,2.424554549996295349e-04,1.048496044545033611e-02,3.008879630082713871e-04,1.080845084060504634e-02
8.000000000000000167e-02,3.172512388328907495e-04,1.063456745008045656e-02,3.945383744890666516e-04,1.106008045637281619e-02
8.999999999999999667e-02,4.024602113382470250e-04,1.080500316216418018e-02,5.016892939919950691e-04,1.134798616332518932e-02
1.000000000000000056e-01,4.982986396337084041e-04,1.099670028409953718e-02,6.226684200547066709e-04,1.167304900213994925e-02
1.100000000000000006e-01,6.049827908372846586e-04,1.121009151828455778e-02,7.578034512148511086e-04,1.203615001349487602e-02
1.199999999999999956e-01,7.227289320669856142e-04,1.144560956711727050e-02,9.077231571822626851e-04,1.243898140650829404e-02
1.300000000000000044e-01,8.517533304408218559e-04,1.170368713299570901e-02,1.072532276590129879e-03,1.288182240340939380e-02
1.400000000000000133e-01,9.922722530768027759e-04,1.198475691831789834e-02,1.252722605029070414e-03,1.336599499046864717e-02
1.499999999999999944e-01,1.144549296935671711e-03,1.228934641518080947e-02,1.449047750781986676e-03,1.389352667411206631e-02
1.600000000000000033e-01,1.309093597799317532e-03,1.261847476677171315e-02,1.662261322131782567e-03,1.446644496076566686e-02
1.700000000000000122e-01,1.485735613767407955e-03,1.297180175442843794e-02,1.893116927361359822e-03,1.508677735685546445e-02
1.799999999999999933e-01,1.674945707817281949e-03,1.335026874183062838e-02,2.142368174753620826e-03,1.575655136880747126e-02
1.900000000000000022e-01,1.877194242926279785e-03,1.375481709265793766e-02,2.410768672591469264e-03,1.647779450304770119e-02
2.000000000000000111e-01,2.092951582071740212e-03,1.418638817059001203e-02,2.699172521592282069e-03,1.725280657118543823e-02
2.099999999999999922e-01,2.322688088231002635e-03,1.464592333930650123e-02,3.008730968698554789e-03,1.808469067352632548e-02
2.200000000000000011e-01,2.566874124381407322e-03,1.513436396248705150e-02,3.339697713431795389e-03,1.897411492092057270e-02
2.300000000000000100e-01,2.825980053500293677e-03,1.565265140381131431e-02,3.693427030946536127e-03,1.992472977777303908e-02
2.399999999999999911e-01,3.100476238564998932e-03,1.620172702695893419e-02,4.071273196397310126e-03,2.094018570848857688e-02
2.500000000000000000e-01,3.390833042552865960e-03,1.678253219560956605e-02,4.474590484938653981e-03,2.202413317747204183e-02
2.600000000000000089e-01,3.697977580038693587e-03,1.739692494179730445e-02,4.904733171725099081e-03,2.318022264912829311e-02
2.700000000000000178e-01,4.021917949114875088e-03,1.804491798645072725e-02,5.363055531911178550e-03,2.441210458786217952e-02
2.800000000000000266e-01,4.363268352377124883e-03,1.872774058378599490e-02,5.850911840651428983e-03,2.572342945807856024e-02
2.899999999999999800e-01,4.722852481710587691e-03,1.944704249042513919e-02,6.370313564564825289e-03,2.711965439112851498e-02
2.999999999999999889e-01,5.101494029000415605e-03,2.020447346299020577e-02,6.922075888807575038e-03,2.860293088276816970e-02
3.099999999999999978e-01,5.500016686131750307e-03,2.100168325810322645e-02,7.507865520619705184e-03,3.017774928860266284e-02
3.200000000000000067e-01,5.919244144989739553e-03,2.184032163238623647e-02,8.129936197954663879e-03,3.185021556674868387e-02
3.300000000000000155e-01,6.360000097459529364e-03,2.272203834246126763e-02,8.790541658765896674e-03,3.362643567532292571e-02
3.400000000000000244e-01,6.823108235426264892e-03,2.364848314495036213e-02,9.491935641006849986e-03,3.551251557244206741e-02
3.500000000000000333e-01,7.309392250775093892e-03,2.462130579647554829e-02,1.023637188263097283e-02,3.751456121622280537e-02
3.599999999999999867e-01,7.820474385888884217e-03,2.564377029473741479e-02,1.102610412159170383e-02,3.963867856478181517e-02
3.699999999999999956e-01,8.356952776809192449e-03,2.671706845737306657e-02,1.186377093526122008e-02,4.189209231677944872e-02
3.800000000000000044e-01,8.918664032486322418e-03,2.784085030160082103e-02,1.275314228282307429e-02,4.428528501453665722e-02
3.900000000000000133e-01,9.507050186020046117e-03,2.901801112036667130e-02,1.369386954161992166e-02,4.681668426002558864e-02
4.000000000000000222e-01,1.012355327051013554e-02,3.025144620661661052e-02,1.468973553964210421e-02,4.949671555253359889e-02
4.100000000000000311e-01,1.076961531905636094e-02,3.154405085329663183e-02,1.574452310487996567e-02,5.233580439134804391e-02
4.199999999999999845e-01,1.144667836475848736e-02,3.289872035335272143e-02,1.686201506532384112e-02,5.534437627575624491e-02
4.299999999999999933e-01,1.215618444071629549e-02,3.431834999973089328e-02,1.804599424896408816e-02,5.853285670504559252e-02
4.400000000000000022e-01,1.289957558002955210e-02,3.580583508537712317e-02,1.930024348379104360e-02,6.191167117850342183e-02
4.500000000000000111e-01,1.367829381579802744e-02,3.736407090323741464e-02,2.062854559779504771e-02,6.549124519541708878e-02
4.600000000000000200e-01,1.449378118112149526e-02,3.899595274625775043e-02,2.203468341896644422e-02,6.928200425507392846e-02
4.700000000000000289e-01,1.534747970909972406e-02,4.070437590738412714e-02,2.352243977529558036e-02,7.329437385676129679e-02
4.799999999999999822e-01,1.624083143283247543e-02,4.249223567956254138e-02,2.509813582716092020e-02,7.754818757673222207e-02
4.899999999999999911e-01,1.717742525664108649e-02,4.436686754598132693e-02,2.676309272280403759e-02,8.204334998990719940e-02
5.000000000000000000e-01,1.815659671378713064e-02,4.632678256255649135e-02,2.852282810829383231e-02,8.679570107629179521e-02
5.100000000000000089e-01,1.917964290072513012e-02,4.837454840382739846e-02,3.038322059405884623e-02,9.182245954121402709e-02
5.200000000000000178e-01,2.024908751285680458e-02,5.051527200166510551e-02,3.235014879052761083e-02,9.714084409000194043e-02
5.300000000000000266e-01,2.136745424558385634e-02,5.275406028794066976e-02,3.442949130812865410e-02,1.027680734279835528e-01
5.400000000000000355e-01,2.253726679430800503e-02,5.509602019452514848e-02,3.662712675729052486e-02,1.087213662604868958e-01
5.500000000000000444e-01,2.376104885443095990e-02,5.754625865328959200e-02,3.894893374844175110e-02,1.150179412928400147e-01
5.600000000000000533e-01,2.504132412135443714e-02,6.010988259610506451e-02,4.140079089201086776e-02,1.216750172303709410e-01
5.700000000000000622e-01,2.638061629048014251e-02,6.279199895484260940e-02,4.398857679842640978e-02,1.287098127784076507e-01
5.799999999999999600e-01,2.778144905720977831e-02,6.559771466137329088e-02,4.671767379058223285e-02,1.361428084142792538e-01
5.899999999999999689e-01,2.924634611694508848e-02,6.853213664756817314e-02,4.959628611913424745e-02,1.439919560524688114e-01
5.999999999999999778e-01,3.077783116508777186e-02,7.160037184529831344e-02,5.263149329232351403e-02,1.522789661306217790e-01
6.099999999999999867e-01,3.237842789703953422e-02,7.480752718643476906e-02,5.582982686762184843e-02,1.610272448073245821e-01
6.199999999999999956e-01,3.405488810854510884e-02,7.816816849629262820e-02,5.919781840250105953e-02,1.702601982411636183e-01
6.300000000000000044e-01,3.580443171401714864e-02,8.167530450729751368e-02,6.274199945443295623e-02,1.800012325907254240e-01
6.400000000000000133e-01,3.763120374463590351e-02,8.533752338774383550e-02,6.646890158088936129e-02,1.902737540145963413e-01
6.500000000000000222e-01,3.953941353652270368e-02,8.916355798323853665e-02,7.038505633934206973e-02,2.011011686713628788e-01
6.600000000000000311e-01,4.153327042579886552e-02,9.316214113938856012e-02,7.449531575219341117e-02,2.125058315585408586e-01
6.700000000000000400e-01,4.361698374858572619e-02,9.734200570180084888e-02,7.880365324443633357e-02,2.245109728229590651e-01
6.800000000000000488e-01,4.579476284100460204e-02,1.017118845160823321e-01,8.332515336412152362e-02,2.371482832693491138e-01
6.900000000000000577e-01,4.807081703917683024e-02,1.062805104278399526e-01,8.806144509660414343e-02,2.504407399299150017e-01
7.000000000000000666e-01,5.044935567922370634e-02,1.110566162826806536e-01,9.301415742723936897e-02,2.644113198368606144e-01
7.099999999999999645e-01,5.293458809726656056e-02,1.160489349262113362e-01,9.818491934138233457e-02,2.790830000223898932e-01
7.199999999999999734e-01,5.553072362942675783e-02,1.212661992040390269e-01,1.035753598243883133e-01,2.944787575187070572e-01
7.299999999999999822e-01,5.824197161182559368e-02,1.267171419617705852e-01,1.091871078616124258e-01,3.106215693580158810e-01
7.399999999999999911e-01,6.107373015892764850e-02,1.324146031760903841e-01,1.150217924384098478e-01,3.275344125725203615e-01
7.500000000000000000e-01,6.403132496159803788e-02,1.383702391687574029e-01,1.210713062015025543e-01,3.452324834663607067e-01
7.600000000000000089e-01,6.711706811962848962e-02,1.445844921535895389e-01,1.273464464893675208e-01,3.637471042717962399e-01
7.700000000000000178e-01,7.033714716037506309e-02,1.510713338128062688e-01,1.338437017972431697e-01,3.830974259457798903e-01
7.800000000000000266e-01,7.369774961119383849e-02,1.578447358286270696e-01,1.405512975124243169e-01,4.032957781957333676e-01
7.900000000000000355e-01,7.720506299944086825e-02,1.649186698832714459e-01,1.474574590222058612e-01,4.243544907290782153e-01
8.000000000000000444e-01,8.086527485247223257e-02,1.723071076589588191e-01,1.545504117138827016e-01,4.462858932532361989e-01
8.100000000000000533e-01,8.468457269764398387e-02,1.800240208379086937e-01,1.618183809747497093e-01,4.691023154756288616e-01
8.200000000000000622e-01,8.866914406231218848e-02,1.880833811023405466e-01,1.692495921921016999e-01,4.928160871036780244e-01
8.300000000000000711e-01,9.282517647383292658e-02,1.964991601344738548e-01,1.768294001994886733e-01,5.174403783006348290e-01
8.399999999999999689e-01,9.715885745956222286e-02,2.052853296165279562e-01,1.845320327414918804e-01,5.429879962053589804e-01
8.499999999999999778e-01,1.016763745468562269e-01,2.144558612307225776e-01,1.923610200962242445e-01,5.694552610372273227e-01
8.599999999999999867e-01,1.063839152630709495e-01,2.240247266592770847e-01,2.002886148706877201e-01,5.968469052468885483e-01
8.699999999999999956e-01,1.112871117350245492e-01,2.340077847265687461e-01,2.082870696718842063e-01,6.251676612849914605e-01
8.800000000000000044e-01,1.163942535179546406e-01,2.444209696624770611e-01,2.163286371068157687e-01,6.544222616021848626e-01
8.900000000000000133e-01,1.217126295467994418e-01,2.552810661241697865e-01,2.243855697824843620e-01,6.846154386491176691e-01
9.000000000000000222e-01,1.272486306260576239e-01,2.666061515777283786e-01,2.324301203058919130e-01,7.157519248764386832e-01
9.100000000000000311e-01,1.330086475602277885e-01,2.784143034892343493e-01,2.404345412840404594e-01,7.478364527347967083e-01
9.200000000000000400e-01,1.389990711538086621e-01,2.907235993247692107e-01,2.483710853239319283e-01,7.808737546748405478e-01
9.300000000000000488e-01,1.452262922112988186e-01,3.035521165504144192e-01,2.562120050325683573e-01,8.148685631472192270e-01
9.400000000000000577e-01,1.516967015371969152e-01,3.169179326322514867e-01,2.639295530169516457e-01,8.498256106025814383e-01
9.500000000000000666e-01,1.584155194167445047e-01,3.308386373547366754e-01,2.714713502674416801e-01,8.857931036986186335e-01
9.599999999999999645e-01,1.653801649068864510e-01,3.453291469230428401e-01,2.788360075915266023e-01,9.227112587803570909e-01
9.699999999999999734e-01,1.726145807025489809e-01,3.604166790642258089e-01,2.859902066819592914e-01,9.605917281354008352e-01
9.799999999999999822e-01,1.801201030152440319e-01,3.761191265183660981e-01,2.928949297037761745e-01,9.994576766071934237e-01
9.899999999999999911e-01,1.878980680564836803e-01,3.924543820255442794e-01,2.995111588220135124e-01,1.039332269039179302e+00
1.000000000000000000e+00,1.959498120377798913e-01,4.094403383258408691e-01,3.057998762017078431e-01,1.080238670274802359e+00
1.010000000000000009e+00,2.042766711706447413e-01,4.270948881593366053e-01,3.117220640078955385e-01,1.122200045157506931e+00
1.020000000000000018e+00,2.128799816665902511e-01,4.454359242661118934e-01,3.172387044056130256e-01,1.165239558530736907e+00
1.030000000000000027e+00,2.217610797371284415e-01,4.644813393862474715e-01,3.223107795598966763e-01,1.209380375237936844e+00
